123.253.233.52 - - "2021-10-24 12:56:58" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (Linux; Android 11; SAMSUNG SM-A705F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/15.0 Chrome/90.0.4430.210 Mobile Safari/537.36"
173.231.60.198 bot - "2021-10-24 19:05:19" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 19:05:27" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 19:05:34" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 19:05:40" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 19:05:47" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 19:05:54" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:31:54" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:32:06" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:32:23" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:32:35" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:32:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:33:05" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:33:51" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:34:09" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:34:20" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:34:32" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:35:12" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-10-24 23:35:41" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
