34.73.138.19 bot - "2021-12-09 01:24:02" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "ZoominfoBot (zoominfobot at zoominfo dot com)"
34.73.138.19 bot - "2021-12-09 01:24:46" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "ZoominfoBot (zoominfobot at zoominfo dot com)"
34.73.138.19 bot - "2021-12-09 01:24:54" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "ZoominfoBot (zoominfobot at zoominfo dot com)"
34.73.138.19 bot - "2021-12-09 01:27:02" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "ZoominfoBot (zoominfobot at zoominfo dot com)"
207.46.13.151 bot - "2021-12-09 02:29:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
173.231.60.198 bot - "2021-12-09 02:33:18" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:33:39" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:34:02" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:34:20" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:34:41" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:34:54" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:35:54" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:36:23" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:36:36" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 02:36:51" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
66.249.65.194 bot - "2021-12-09 07:41:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
173.231.60.198 bot - "2021-12-09 09:16:37" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:17:30" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:38:01" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:38:07" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:38:41" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:38:53" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 09:39:06" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2021-12-09 14:46:19" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
