114.119.132.202 bot - "2022-02-21 00:16:17" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
207.46.13.60 bot - "2022-02-21 01:17:52" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
199.47.82.20 - - "2022-02-21 18:15:04" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:07" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:10" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:12" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:16" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:18" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:21" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:23" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:26" http://jurnal.untag-banyuwangi.ac.id/index.php/Pancasila/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.20 - - "2022-02-21 18:15:29" http://jurnal.untag-banyuwangi.ac.id/index.php/Pancasila/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
