66.249.79.111 bot - "2022-06-11 13:53:46" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.109 bot - "2022-06-11 14:14:09" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.111 bot - "2022-06-11 14:24:50" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.109 bot - "2022-06-11 15:26:17" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
77.88.5.83 bot - "2022-06-11 20:39:10" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
154.54.249.18 bot - "2022-06-11 21:43:18" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:45:15" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:45:51" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:46:07" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:46:24" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:46:56" http://jurnal.untag-banyuwangi.ac.id/index.php/Pancasila/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:47:29" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:48:03" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:48:20" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:48:37" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
154.54.249.18 bot - "2022-06-11 21:49:49" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)"
