157.55.39.233 bot - "2022-10-28 00:47:43" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
64.124.8.26 - - "2022-10-28 01:13:01" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
114.119.132.218 bot - "2022-10-28 01:31:49" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
114.119.132.228 bot - "2022-10-28 02:21:12" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/28 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
207.46.13.172 bot - "2022-10-28 03:06:33" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
66.249.69.112 bot - "2022-10-28 03:14:00" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/7 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 03:27:50" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.108 bot - "2022-10-28 03:32:49" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/36/1/76 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 03:37:55" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/26 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.254 bot - "2022-10-28 03:39:46" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/36 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.228 bot - "2022-10-28 03:49:58" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.254 bot - "2022-10-28 04:04:51" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 04:05:06" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 04:07:09" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.112 bot - "2022-10-28 04:07:12" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 04:17:04" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 04:17:09" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 04:17:13" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 04:20:59" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 04:23:38" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.254 bot - "2022-10-28 04:27:15" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/issue/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 04:27:36" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.108 bot - "2022-10-28 04:27:41" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/14 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.254 bot - "2022-10-28 04:27:48" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
114.119.132.187 bot - "2022-10-28 08:46:45" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/3 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
180.249.185.173 - - "2022-10-28 08:47:39" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/51 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
180.249.185.173 - - "2022-10-28 08:49:02" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/issue/view/13 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
180.249.185.173 - - "2022-10-28 08:49:10" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/51 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36"
66.249.69.228 bot - "2022-10-28 09:33:06" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.254 bot - "2022-10-28 09:33:56" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/8 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.112 bot - "2022-10-28 09:40:25" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/24 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.228 bot - "2022-10-28 09:41:39" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.225 bot - "2022-10-28 09:46:26" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.112 bot - "2022-10-28 09:57:54" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.108 bot - "2022-10-28 09:58:21" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.110 bot - "2022-10-28 10:01:42" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
