114.119.159.197 bot - "2023-03-19 00:45:52" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/85 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
66.249.79.14 bot - "2023-03-19 01:05:19" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/50 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.5563.64 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
140.213.32.114 - - "2023-03-19 01:17:28" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/49/22/189 200 "Mozilla/5.0 (Linux; Android 10; Redmi 8A Pro) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36"
66.249.79.113 bot - "2023-03-19 02:58:21" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.5563.64 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.109 bot - "2023-03-19 03:43:22" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/61 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.5563.64 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.16 bot - "2023-03-19 03:49:05" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/31/42/210 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-03-19 03:57:09" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/31/42/210 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.14 bot - "2023-03-19 03:57:39" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/25 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.12 bot - "2023-03-19 03:59:46" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/view/42 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.16 bot - "2023-03-19 04:02:35" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/72 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.16 bot - "2023-03-19 04:04:15" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/view/81 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.14 bot - "2023-03-19 04:07:07" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/73/48/216 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.12 bot - "2023-03-19 04:07:44" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/25/45/213 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.12 bot - "2023-03-19 04:07:57" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.111 bot - "2023-03-19 04:09:04" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/26/40/208 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
