36.82.99.213 - - "2023-05-25 00:41:01" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/31/42/210 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50"
40.77.167.139 bot - "2023-05-25 00:41:38" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
40.77.167.115 bot - "2023-05-25 00:45:34" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
140.213.32.38 - - "2023-05-25 00:55:41" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/83/59/227 200 "Mozilla/5.0 (Linux; Android 12; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36"
140.213.32.38 - - "2023-05-25 00:56:15" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/83/59/227 200 "Mozilla/5.0 (Linux; Android 12; M2003J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Mobile Safari/537.36"
199.47.82.21 - - "2023-05-25 01:00:37" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/32/5/162 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:00:37" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/33/4/161 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:00:38" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/34/2/159 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:00:38" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/35/3/160 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:00:39" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/36/1/76 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:00:39" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/69/7/166 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:08" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/10/9/176 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:09" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/5/13/180 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:09" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/6/11/178 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:10" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/7/12/179 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:10" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/8/10/177 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:11" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/9/8/175 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:11" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/37/28/196 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:12" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/38/31/199 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:12" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/39/27/195 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:13" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/40/30/198 200 "Turnitin (https://bit.ly/2UvnfoQ)"
66.249.79.117 bot - "2023-05-25 01:01:13" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/view/46 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
