172.177.228.74 - - "2023-07-05 00:03:15" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36"
114.119.132.149 bot - "2023-07-05 00:30:30" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/29/43/211 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
74.80.208.86 - - "2023-07-05 00:40:44" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/42/29/197 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
114.10.69.101 - - "2023-07-05 00:56:01" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/view/44 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
114.10.69.101 - - "2023-07-05 00:57:21" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/44/16/183 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
74.80.208.86 - - "2023-07-05 00:58:14" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/34/2/159 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
74.80.208.86 - - "2023-07-05 01:08:45" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/58 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/61.0.3163.79 Safari/537.36"
182.253.244.6 - - "2023-07-05 02:56:27" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/52/24/192 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
182.253.244.6 - - "2023-07-05 02:56:32" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/52/24/192 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
182.253.244.6 - - "2023-07-05 02:56:35" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/52/24/192 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
182.253.244.6 - - "2023-07-05 02:56:53" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/52/24/192 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
180.243.32.183 - - "2023-07-05 03:07:26" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
180.243.32.183 - - "2023-07-05 03:07:36" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36"
