213.180.203.89 bot - "2023-12-10 00:07:37" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/view/52 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
66.249.65.201 bot - "2023-12-10 00:09:55" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/download/102/73/282 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.199 bot - "2023-12-10 00:12:53" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
40.77.167.26 bot - "2023-12-10 00:18:50" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/25 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
103.226.232.192 - - "2023-12-10 00:24:10" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Mobile Safari/537.36"
66.249.65.199 bot - "2023-12-10 00:24:10" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/27/44/212 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.10 bot - "2023-12-10 00:24:47" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/118 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.201 bot - "2023-12-10 00:26:50" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.65.11 bot - "2023-12-10 00:36:31" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/148 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.167.144.179 bot - "2023-12-10 00:38:04" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/122 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.65.200 bot - "2023-12-10 00:42:36" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/issue/view/29 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.167.144.228 bot - "2023-12-10 00:46:53" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/93 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
