85.208.96.212 bot - "2024-01-18 00:03:23" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/view/32 200 "Mozilla/5.0 (compatible; SemrushBot/7~bl; +http://www.semrush.com/bot.html)"
66.249.73.227 bot - "2024-01-18 00:07:30" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/view/47 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.226 bot - "2024-01-18 00:18:22" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/36/1/76 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.225 bot - "2024-01-18 00:31:26" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/31 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.167.144.234 bot - "2024-01-18 00:32:04" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/158 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.74.73 bot - "2024-01-18 00:34:32" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/117 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
52.167.144.229 bot - "2024-01-18 00:45:02" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
66.249.74.73 bot - "2024-01-18 00:47:56" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/143 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.226 bot - "2024-01-18 00:48:27" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/144/114/427 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.227 bot - "2024-01-18 00:49:04" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
114.5.254.123 - - "2024-01-18 00:52:07" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/view/43 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
114.5.254.123 - - "2024-01-18 00:52:21" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
114.5.254.123 - - "2024-01-18 00:52:32" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/view/43 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
66.249.74.74 bot - "2024-01-18 01:00:51" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/82 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.216 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
183.159.176.38 - - "2024-01-18 01:27:25" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/view/122 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
66.249.74.75 bot - "2024-01-18 01:29:22" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/84 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.74 bot - "2024-01-18 01:29:44" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/article/download/99/71/274 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.74 bot - "2024-01-18 01:35:45" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/issue/view/10 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.74.74 bot - "2024-01-18 01:36:16" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/20 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.226 bot - "2024-01-18 01:42:04" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.6099.216 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
114.119.156.142 bot - "2024-01-18 01:57:29" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/31 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
66.249.73.225 bot - "2024-01-18 02:01:23" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.73.226 bot - "2024-01-18 02:03:45" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/issue/view/17 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
