125.166.117.122 administrative 42 "2024-03-03 00:00:19" http://jurnal.untag-banyuwangi.ac.id/index.php/j-tech/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:123.0) Gecko/20100101 Firefox/123.0"
199.47.82.19 - - "2024-03-03 00:08:04" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:11" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/72/47/215 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:11" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/73/48/216 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:12" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/74/49/217 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:12" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/75/50/218 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:13" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/download/76/51/219 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:14" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/article/view/71 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:45" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/37/28/196 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:45" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/38/31/199 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:46" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/40/30/198 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:47" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/41/26/194 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:47" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/42/29/197 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:49" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/24 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:50" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/25 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:51" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/26 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:53" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/27 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:53" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/28 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:55" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/29 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:55" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/30 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.19 - - "2024-03-03 00:08:56" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/31 200 "Turnitin (https://bit.ly/2UvnfoQ)"
223.255.224.101 - - "2024-03-03 00:14:07" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/article/download/51/21/188 200 "Mozilla/5.0 (Linux; Android 8.1.0; vivo 1811 Build/OPM1.171019.026; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/87.0.4280.141 Mobile Safari/537.36 VivoBrowser/11.2.0.1"
66.249.79.4 bot - "2024-03-03 00:16:53" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/view/28 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.6167.139 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
114.119.154.115 bot - "2024-03-03 00:34:53" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/download/42/29/197 200 "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
66.249.79.102 bot - "2024-03-03 00:47:07" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/issue/view/12 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
45.41.128.20 - - "2024-03-03 00:48:01" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/116."
66.249.79.102 bot - "2024-03-03 00:50:16" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/issue/view/1 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.100 bot - "2024-03-03 00:53:18" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.100 bot - "2024-03-03 00:53:51" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/issue/view/11 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.3 bot - "2024-03-03 00:59:59" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.79.4 bot - "2024-03-03 01:03:25" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
45.45.218.161 bot - "2024-03-03 01:10:00" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/70/52/220 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
45.45.218.161 bot - "2024-03-03 01:10:03" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/77/53/221 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
45.45.218.161 bot - "2024-03-03 01:10:06" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/79/55/223 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
45.45.218.161 bot - "2024-03-03 01:10:09" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/80/56/224 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
45.45.218.161 bot - "2024-03-03 01:10:12" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/article/download/81/57/225 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
45.45.218.161 bot - "2024-03-03 01:10:15" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)"
